Product,Total_Customers,Churned_Customers,Churn_Rate,Avg_Churn_Rate,Churn_Lift,Product_Label
JUMBO BAG VINTAGE CHRISTMAS,292,13,0.045,0.032,0.013,Risky_Product
SET 12 VINTAGE DOILY CHALK,157,7,0.045,0.032,0.013,Risky_Product
PLEASE ONE PERSON METAL SIGN,177,8,0.045,0.032,0.013,Risky_Product
ZINC FOLKART SLEIGH BELLS,291,13,0.045,0.032,0.013,Risky_Product
TOY TIDY SPACEBOY,66,3,0.045,0.032,0.013,Risky_Product
SWISS CHALET TREE DECORATION,45,2,0.044,0.032,0.012,Risky_Product
SWEETHEART CERAMIC TRINKET BOX,113,5,0.044,0.032,0.012,Risky_Product
RED SPOT PAPER GIFT BAG,90,4,0.044,0.032,0.012,Risky_Product
SET 12 COLOUR PENCILS DOLLY GIRL,159,7,0.044,0.032,0.012,Risky_Product
SET 12 COLOUR PENCILS SPACEBOY,225,10,0.044,0.032,0.012,Risky_Product
SET/10 PINK POLKADOT PARTY CANDLES,68,3,0.044,0.032,0.012,Risky_Product
KEY RING BASEBALL BOOT ASSORTED,114,5,0.044,0.032,0.012,Risky_Product
LOVE BUILDING BLOCK WORD,113,5,0.044,0.032,0.012,Risky_Product
METAL MERRY CHRISTMAS WREATH,45,2,0.044,0.032,0.012,Risky_Product
MAGNETS PACK OF 4 RETRO PHOTO,45,2,0.044,0.032,0.012,Risky_Product
LOVEBIRD HANGING DECORATION WHITE,90,4,0.044,0.032,0.012,Risky_Product
EIGHT PIECE SNAKE SET,45,2,0.044,0.032,0.012,Risky_Product
DOLLY GIRL CHILDRENS BOWL,68,3,0.044,0.032,0.012,Risky_Product
FILIGREE HEART BIRD WHITE,45,2,0.044,0.032,0.012,Risky_Product
EMBROIDERED RIBBON REEL ROSIE,45,2,0.044,0.032,0.012,Risky_Product
EMBROIDERED RIBBON REEL EMILY,68,3,0.044,0.032,0.012,Risky_Product
BATHROOM METAL SIGN,90,4,0.044,0.032,0.012,Risky_Product
CHRISTMAS TREE PAINTED ZINC,45,2,0.044,0.032,0.012,Risky_Product
CHICK GREY HOT WATER BOTTLE,185,8,0.043,0.032,0.011,Risky_Product
CALENDAR PAPER CUT DESIGN,46,2,0.043,0.032,0.011,Risky_Product
3D CHRISTMAS STAMPS STICKERS,70,3,0.043,0.032,0.011,Risky_Product
3 PIECE SPACEBOY COOKIE CUTTER SET,116,5,0.043,0.032,0.011,Risky_Product
6 GIFT TAGS 50'S CHRISTMAS,235,10,0.043,0.032,0.011,Risky_Product
6 RIBBONS SHIMMERING PINKS,46,2,0.043,0.032,0.011,Risky_Product
DOORMAT RED RETROSPOT,141,6,0.043,0.032,0.011,Risky_Product
DOORMAT TOPIARY,46,2,0.043,0.032,0.011,Risky_Product
GREEN GOOSE FEATHER TREE 60CM,46,2,0.043,0.032,0.011,Risky_Product
IVORY WICKER HEART MEDIUM,187,8,0.043,0.032,0.011,Risky_Product
ICON MUG REVOLUTIONARY,47,2,0.043,0.032,0.011,Risky_Product
IVORY KITCHEN SCALES,210,9,0.043,0.032,0.011,Risky_Product
PACK OF 20 SKULL PAPER NAPKINS,46,2,0.043,0.032,0.011,Risky_Product
NATURAL SLATE CHALKBOARD LARGE,92,4,0.043,0.032,0.011,Risky_Product
SET/6 PINK BUTTERFLY T-LIGHTS,47,2,0.043,0.032,0.011,Risky_Product
SET OF 6 T-LIGHTS SANTA,139,6,0.043,0.032,0.011,Risky_Product
SET OF 72 PINK HEART PAPER DOILIES,70,3,0.043,0.032,0.011,Risky_Product
SET OF 4 KNICK KNACK TINS POPPIES,69,3,0.043,0.032,0.011,Risky_Product
SET 6 PAPER TABLE LANTERN STARS,162,7,0.043,0.032,0.011,Risky_Product
SET OF 2 CERAMIC CHRISTMAS TREES,70,3,0.043,0.032,0.011,Risky_Product
ROCKING HORSE RED CHRISTMAS,141,6,0.043,0.032,0.011,Risky_Product
POPPY'S PLAYHOUSE LIVINGROOM,69,3,0.043,0.032,0.011,Risky_Product
RECIPE BOX PANTRY YELLOW DESIGN,230,10,0.043,0.032,0.011,Risky_Product
SWEETHEART BIRD HOUSE,93,4,0.043,0.032,0.011,Risky_Product
VINTAGE BILLBOARD LOVE/HATE MUG,47,2,0.043,0.032,0.011,Risky_Product
WOODLAND CHARLOTTE BAG,141,6,0.043,0.032,0.011,Risky_Product
WRAP ALPHABET DESIGN,46,2,0.043,0.032,0.011,Risky_Product
WALL ART VILLAGE SHOW,71,3,0.042,0.032,0.01,Risky_Product
TRADITIONAL MODELLING CLAY,143,6,0.042,0.032,0.01,Risky_Product
SPACEBOY GIFT WRAP,72,3,0.042,0.032,0.01,Risky_Product
RED RETROSPOT PEG BAG,71,3,0.042,0.032,0.01,Risky_Product
SCOTTIE DOGS BABY BIB,48,2,0.042,0.032,0.01,Risky_Product
MOTORING TISSUE BOX,96,4,0.042,0.032,0.01,Risky_Product
MOUSE TOY WITH PINK T-SHIRT,48,2,0.042,0.032,0.01,Risky_Product
NOVELTY BISCUITS CAKE STAND 3 TIER,48,2,0.042,0.032,0.01,Risky_Product
OVAL MINI PORTRAIT FRAME,71,3,0.042,0.032,0.01,Risky_Product
PHOTO CUBE,71,3,0.042,0.032,0.01,Risky_Product
PHOTO FRAME CORNICE,119,5,0.042,0.032,0.01,Risky_Product
LETTER HOLDER HOME SWEET HOME,72,3,0.042,0.032,0.01,Risky_Product
LADS ONLY TISSUE BOX,71,3,0.042,0.032,0.01,Risky_Product
HOT BATHS METAL SIGN,144,6,0.042,0.032,0.01,Risky_Product
FELTCRAFT DOLL ROSIE,96,4,0.042,0.032,0.01,Risky_Product
ALARM CLOCK BAKELIKE PINK,238,10,0.042,0.032,0.01,Risky_Product
CERAMIC HEART FAIRY CAKE MONEY BANK,96,4,0.042,0.032,0.01,Risky_Product
CARD MOTORBIKE SANTA,148,6,0.041,0.032,0.009,Risky_Product
EMPIRE TISSUE BOX,73,3,0.041,0.032,0.009,Risky_Product
EGG CUP MILKMAID HEIDI,73,3,0.041,0.032,0.009,Risky_Product
HOME SWEET HOME HOOK,49,2,0.041,0.032,0.009,Risky_Product
GYMKHANA TREASURE BOOK BOX,73,3,0.041,0.032,0.009,Risky_Product
NOEL GARLAND PAINTED ZINC,73,3,0.041,0.032,0.009,Risky_Product
SET 36 COLOUR PENCILS SPACEBOY,148,6,0.041,0.032,0.009,Risky_Product
SKULL LUNCH BOX WITH CUTLERY,74,3,0.041,0.032,0.009,Risky_Product
RIBBON REEL CHRISTMAS SOCK BAUBLE,147,6,0.041,0.032,0.009,Risky_Product
ROSES REGENCY TEACUP AND SAUCER,169,7,0.041,0.032,0.009,Risky_Product
STRAWBERRY SHOPPER BAG,73,3,0.041,0.032,0.009,Risky_Product
SPACEBOY CHILDRENS CUP,74,3,0.041,0.032,0.009,Risky_Product
THREE MINI HANGING FRAMES,74,3,0.041,0.032,0.009,Risky_Product
TOMATO CHARLIE+LOLA COASTER SET,49,2,0.041,0.032,0.009,Risky_Product
WHITE WOOD GARDEN PLANT LADDER,97,4,0.041,0.032,0.009,Risky_Product
WOODEN ADVENT CALENDAR CREAM,74,3,0.041,0.032,0.009,Risky_Product
VINTAGE SNAP CARDS,319,13,0.041,0.032,0.009,Risky_Product
WELCOME WOODEN BLOCK LETTERS,50,2,0.04,0.032,0.008,Risky_Product
WRAP ENGLISH ROSE,50,2,0.04,0.032,0.008,Risky_Product
TOOL BOX SOFT TOY,50,2,0.04,0.032,0.008,Risky_Product
TOADSTOOL BEDSIDE LIGHT,50,2,0.04,0.032,0.008,Risky_Product
TRADITIONAL NAUGHTS & CROSSES,327,13,0.04,0.032,0.008,Risky_Product
RED SPOT CERAMIC DRAWER KNOB,50,2,0.04,0.032,0.008,Risky_Product
SET OF 3 WOODEN STOCKING DECORATION,227,9,0.04,0.032,0.008,Risky_Product
PACK OF 72 SKULL CAKE CASES,124,5,0.04,0.032,0.008,Risky_Product
PINK FLORAL FELTCRAFT SHOULDER BAG,100,4,0.04,0.032,0.008,Risky_Product
PAINTED METAL PEARS ASSORTED,124,5,0.04,0.032,0.008,Risky_Product
LIPSTICK PEN BABY PINK,50,2,0.04,0.032,0.008,Risky_Product
GREEN REGENCY TEACUP AND SAUCER,149,6,0.04,0.032,0.008,Risky_Product
GIANT 50'S CHRISTMAS CRACKER,297,12,0.04,0.032,0.008,Risky_Product
GLITTER CHRISTMAS TREE WITH BELLS,75,3,0.04,0.032,0.008,Risky_Product
DRAWER KNOB CERAMIC IVORY,99,4,0.04,0.032,0.008,Risky_Product
FOLDING BUTTERFLY MIRROR RED,50,2,0.04,0.032,0.008,Risky_Product
CERAMIC PIRATE CHEST MONEY BANK,50,2,0.04,0.032,0.008,Risky_Product
3 DRAWER ANTIQUE WHITE WOOD CABINET,177,7,0.04,0.032,0.008,Risky_Product
ALARM CLOCK BAKELIKE GREEN,307,12,0.039,0.032,0.007,Risky_Product
CHILDRENS APRON APPLES DESIGN,102,4,0.039,0.032,0.007,Risky_Product
CHERUB HEART DECORATION SILVER,51,2,0.039,0.032,0.007,Risky_Product
BUBBLEGUM RING ASSORTED,128,5,0.039,0.032,0.007,Risky_Product
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,76,3,0.039,0.032,0.007,Risky_Product
FILIGRIS HEART WITH BUTTERFLY,51,2,0.039,0.032,0.007,Risky_Product
FEATHER PEN;LIGHT PINK,51,2,0.039,0.032,0.007,Risky_Product
GARDENERS KNEELING PAD CUP OF TEA,305,12,0.039,0.032,0.007,Risky_Product
HEART OF WICKER SMALL,311,12,0.039,0.032,0.007,Risky_Product
MILK PAN RED RETROSPOT,51,2,0.039,0.032,0.007,Risky_Product
SKETCHBOOK MAGNETIC SHOPPING LIST,127,5,0.039,0.032,0.007,Risky_Product
SET/6 PURPLE BUTTERFLY T-LIGHTS,51,2,0.039,0.032,0.007,Risky_Product
ROLL WRAP 50'S CHRISTMAS,284,11,0.039,0.032,0.007,Risky_Product
SWEETHEART RECIPE BOOK STAND,103,4,0.039,0.032,0.007,Risky_Product
WOODEN FRAME ANTIQUE WHITE,284,11,0.039,0.032,0.007,Risky_Product
WALL ART STOP FOR TEA,178,7,0.039,0.032,0.007,Risky_Product
VINTAGE DOILY JUMBO BAG RED,331,13,0.039,0.032,0.007,Risky_Product
VINTAGE CREAM DOG FOOD CONTAINER,78,3,0.038,0.032,0.006,Risky_Product
WICKER WREATH SMALL,79,3,0.038,0.032,0.006,Risky_Product
SPACEBOY LUNCH BOX,182,7,0.038,0.032,0.006,Risky_Product
SMALL PARLOUR PICTURE FRAME,53,2,0.038,0.032,0.006,Risky_Product
ROUND SNACK BOXES SET OF4 WOODLAND,185,7,0.038,0.032,0.006,Risky_Product
RETROSPOT PARTY BAG + STICKER SET,79,3,0.038,0.032,0.006,Risky_Product
REGENCY TEA PLATE PINK,52,2,0.038,0.032,0.006,Risky_Product
SET OF 4 SANTA PLACE SETTINGS,78,3,0.038,0.032,0.006,Risky_Product
SET OF 3 WOODEN HEART DECORATIONS,260,10,0.038,0.032,0.006,Risky_Product
LANDMARK FRAME NOTTING HILL,80,3,0.038,0.032,0.006,Risky_Product
JUMBO BAG DOLLY GIRL DESIGN,80,3,0.038,0.032,0.006,Risky_Product
JUMBO BAG PAISLEY PARK,399,15,0.038,0.032,0.006,Risky_Product
PINK POLKADOT WRAP,53,2,0.038,0.032,0.006,Risky_Product
HEART OF WICKER LARGE,238,9,0.038,0.032,0.006,Risky_Product
HEART FILIGREE DOVE SMALL,52,2,0.038,0.032,0.006,Risky_Product
HEART CALCULATOR,52,2,0.038,0.032,0.006,Risky_Product
GLASS APOTHECARY BOTTLE PERFUME,106,4,0.038,0.032,0.006,Risky_Product
FELTCRAFT BOY JEAN-PAUL KIT,53,2,0.038,0.032,0.006,Risky_Product
ENGLISH ROSE SPIRIT LEVEL,53,2,0.038,0.032,0.006,Risky_Product
FELTCRAFT PRINCESS LOLA DOLL,184,7,0.038,0.032,0.006,Risky_Product
DOORMAT FAIRY CAKE,52,2,0.038,0.032,0.006,Risky_Product
CHRISTMAS MUSICAL ZINC STAR,78,3,0.038,0.032,0.006,Risky_Product
CHRISTMAS CRAFT LITTLE FRIENDS,346,13,0.038,0.032,0.006,Risky_Product
BAG 500g SWIRLY MARBLES,80,3,0.038,0.032,0.006,Risky_Product
4 LILY BOTANICAL DINNER CANDLES,53,2,0.038,0.032,0.006,Risky_Product
3 STRIPEY MICE FELTCRAFT,182,7,0.038,0.032,0.006,Risky_Product
50'S CHRISTMAS GIFT BAG LARGE,109,4,0.037,0.032,0.005,Risky_Product
CHILLI LIGHTS,187,7,0.037,0.032,0.005,Risky_Product
CLASSIC CHROME BICYCLE BELL,267,10,0.037,0.032,0.005,Risky_Product
CREAM HEART CARD HOLDER,136,5,0.037,0.032,0.005,Risky_Product
CARD CHRISTMAS VILLAGE,135,5,0.037,0.032,0.005,Risky_Product
CARDHOLDER HOLLY WREATH METAL,82,3,0.037,0.032,0.005,Risky_Product
DOORMAT VINTAGE LEAF,108,4,0.037,0.032,0.005,Risky_Product
DOLLY CABINET 3 DRAWERS,54,2,0.037,0.032,0.005,Risky_Product
DRAWER KNOB CRACKLE GLAZE GREEN,54,2,0.037,0.032,0.005,Risky_Product
EMBROIDERED RIBBON REEL DAISY,54,2,0.037,0.032,0.005,Risky_Product
FELTCRAFT HAIRBANDS PINK AND WHITE,54,2,0.037,0.032,0.005,Risky_Product
JAM JAR WITH PINK LID,54,2,0.037,0.032,0.005,Risky_Product
JINGLE BELL HEART DECORATION,244,9,0.037,0.032,0.005,Risky_Product
PINK HANGING HEART T-LIGHT HOLDER,81,3,0.037,0.032,0.005,Risky_Product
PAINT YOUR OWN CANVAS SET,82,3,0.037,0.032,0.005,Risky_Product
PARTY CHARMS 50 PIECES,54,2,0.037,0.032,0.005,Risky_Product
KITCHEN METAL SIGN,54,2,0.037,0.032,0.005,Risky_Product
LUNCH BAG ALPHABET DESIGN,190,7,0.037,0.032,0.005,Risky_Product
LUNCH BOX I LOVE LONDON,108,4,0.037,0.032,0.005,Risky_Product
SET/20 RED RETROSPOT PAPER NAPKINS,163,6,0.037,0.032,0.005,Risky_Product
SET OF TEA COFFEE SUGAR TINS PANTRY,136,5,0.037,0.032,0.005,Risky_Product
RIBBON REEL LACE DESIGN,54,2,0.037,0.032,0.005,Risky_Product
ROTATING SILVER ANGELS T-LIGHT HLDR,244,9,0.037,0.032,0.005,Risky_Product
VICTORIAN METAL POSTCARD SPRING,54,2,0.037,0.032,0.005,Risky_Product
WOODEN ADVENT CALENDAR RED,109,4,0.037,0.032,0.005,Risky_Product
YOU'RE CONFUSING ME METAL SIGN,136,5,0.037,0.032,0.005,Risky_Product
ZINC BOX SIGN HOME,56,2,0.036,0.032,0.004,Risky_Product
WRAP VINTAGE LEAF DESIGN,83,3,0.036,0.032,0.004,Risky_Product
WHITE WICKER STAR,225,8,0.036,0.032,0.004,Risky_Product
VINTAGE CHRISTMAS STOCKING,253,9,0.036,0.032,0.004,Risky_Product
VINTAGE HEADS AND TAILS CARD GAME,249,9,0.036,0.032,0.004,Risky_Product
VINTAGE CHRISTMAS CAKE FRILL,83,3,0.036,0.032,0.004,Risky_Product
TOXIC AREA DOOR HANGER,83,3,0.036,0.032,0.004,Risky_Product
T-LIGHT HOLDER HANGING LOVE BIRD,138,5,0.036,0.032,0.004,Risky_Product
SMALL MARSHMALLOWS PINK BOWL,110,4,0.036,0.032,0.004,Risky_Product
SPACEBOY CHILDRENS BOWL,84,3,0.036,0.032,0.004,Risky_Product
ROUND CAKE TIN VINTAGE RED,83,3,0.036,0.032,0.004,Risky_Product
ROLL WRAP 50'S RED CHRISTMAS,166,6,0.036,0.032,0.004,Risky_Product
RED KITCHEN SCALES,139,5,0.036,0.032,0.004,Risky_Product
SKULL DESIGN TV DINNER TRAY,55,2,0.036,0.032,0.004,Risky_Product
SET OF 3 CAKE TINS PANTRY DESIGN,281,10,0.036,0.032,0.004,Risky_Product
KNITTED UNION FLAG HOT WATER BOTTLE,168,6,0.036,0.032,0.004,Risky_Product
LAVENDER TOILETTE BOTTLE,56,2,0.036,0.032,0.004,Risky_Product
LE JARDIN BOTANIQUE CUSHION COVER,111,4,0.036,0.032,0.004,Risky_Product
PARISIENNE CURIO CABINET,56,2,0.036,0.032,0.004,Risky_Product
HOMEMADE JAM SCENTED CANDLES,83,3,0.036,0.032,0.004,Risky_Product
HOT WATER BOTTLE TEA AND SYMPATHY,359,13,0.036,0.032,0.004,Risky_Product
FUNKY WASHING UP GLOVES ASSORTED,56,2,0.036,0.032,0.004,Risky_Product
CHILDRENS CUTLERY RETROSPOT RED,83,3,0.036,0.032,0.004,Risky_Product
CHRISTMAS METAL POSTCARD WITH BELLS,55,2,0.036,0.032,0.004,Risky_Product
60 CAKE CASES VINTAGE CHRISTMAS,334,12,0.036,0.032,0.004,Risky_Product
3 TRADITIONAl BISCUIT CUTTERS SET,56,2,0.036,0.032,0.004,Risky_Product
BAKING SET 9 PIECE RETROSPOT,389,14,0.036,0.032,0.004,Risky_Product
BOHEMIAN COLLAGE STATIONERY SET,56,2,0.036,0.032,0.004,Risky_Product
ASSORTED COLOUR BIRD ORNAMENT,430,15,0.035,0.032,0.003,Risky_Product
CHRISTMAS HANGING STAR WITH BELL,173,6,0.035,0.032,0.003,Risky_Product
BOX OF 6 MINI VINTAGE CRACKERS,287,10,0.035,0.032,0.003,Risky_Product
FOOT STOOL HOME SWEET HOME,113,4,0.035,0.032,0.003,Risky_Product
FEATHER PEN;HOT PINK,85,3,0.035,0.032,0.003,Risky_Product
DOUGHNUT LIP GLOSS,141,5,0.035,0.032,0.003,Risky_Product
GREEN CHRISTMAS TREE CARD HOLDER,142,5,0.035,0.032,0.003,Risky_Product
HAND WARMER RED RETROSPOT,260,9,0.035,0.032,0.003,Risky_Product
LARGE HEART MEASURING SPOONS,85,3,0.035,0.032,0.003,Risky_Product
JUMBO BAG 50'S CHRISTMAS,454,16,0.035,0.032,0.003,Risky_Product
SET/6 RED SPOTTY PAPER CUPS,57,2,0.035,0.032,0.003,Risky_Product
SET OF 4 PANTRY JELLY MOULDS,230,8,0.035,0.032,0.003,Risky_Product
RED RETROSPOT UMBRELLA,86,3,0.035,0.032,0.003,Risky_Product
REGENCY SUGAR BOWL GREEN,57,2,0.035,0.032,0.003,Risky_Product
TRADITIONAL WOODEN CATCH CUP GAME,142,5,0.035,0.032,0.003,Risky_Product
TRAVEL CARD WALLET SKULLS,57,2,0.035,0.032,0.003,Risky_Product
TRIPLE PHOTO FRAME CORNICE,57,2,0.035,0.032,0.003,Risky_Product
WOODEN BOX OF DOMINOES,256,9,0.035,0.032,0.003,Risky_Product
WOOD STAMP SET THANK YOU,141,5,0.035,0.032,0.003,Risky_Product
WOOD STAMP SET FLOWERS,88,3,0.034,0.032,0.002,Risky_Product
TREASURE ISLAND BOOK BOX,87,3,0.034,0.032,0.002,Risky_Product
SMALL PURPLE BABUSHKA NOTEBOOK,87,3,0.034,0.032,0.002,Risky_Product
ROTATING LEAVES T-LIGHT HOLDER,87,3,0.034,0.032,0.002,Risky_Product
REX CASH+CARRY JUMBO SHOPPER,387,13,0.034,0.032,0.002,Risky_Product
RED DINER WALL CLOCK,88,3,0.034,0.032,0.002,Risky_Product
PLASTERS IN TIN SKULLS,176,6,0.034,0.032,0.002,Risky_Product
SET 7 BABUSHKA NESTING BOXES,89,3,0.034,0.032,0.002,Risky_Product
METAL SIGN TAKE IT OR LEAVE IT,87,3,0.034,0.032,0.002,Risky_Product
MISTLETOE HEART WREATH GREEN,118,4,0.034,0.032,0.002,Risky_Product
PHOTO FRAME 3 CLASSIC HANGING,59,2,0.034,0.032,0.002,Risky_Product
PACK OF 60 MUSHROOM CAKE CASES,88,3,0.034,0.032,0.002,Risky_Product
PACK OF 12 HEARTS DESIGN TISSUES,87,3,0.034,0.032,0.002,Risky_Product
PACK OF 12 LONDON TISSUES,119,4,0.034,0.032,0.002,Risky_Product
GARAGE KEY FOB,58,2,0.034,0.032,0.002,Risky_Product
BREAD BIN DINER STYLE IVORY,119,4,0.034,0.032,0.002,Risky_Product
CHILDRENS CUTLERY SPACEBOY,118,4,0.034,0.032,0.002,Risky_Product
CHILDREN'S APRON DOLLY GIRL,119,4,0.034,0.032,0.002,Risky_Product
CHILDRENS APRON SPACEBOY DESIGN,206,7,0.034,0.032,0.002,Risky_Product
ASSORTED COLOURS SILK FAN,59,2,0.034,0.032,0.002,Risky_Product
BALLOONS WRITING SET,118,4,0.034,0.032,0.002,Risky_Product
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,59,2,0.034,0.032,0.002,Risky_Product
15CM CHRISTMAS GLASS BALL 20 LIGHTS,176,6,0.034,0.032,0.002,Risky_Product
AGED GLASS SILVER T-LIGHT HOLDER,116,4,0.034,0.032,0.002,Risky_Product
3 HEARTS HANGING DECORATION RUSTIC,182,6,0.033,0.032,0.001,Risky_Product
BISCUIT TIN VINTAGE CHRISTMAS,183,6,0.033,0.032,0.001,Risky_Product
BOX OF 6 CHRISTMAS CAKE DECORATIONS,213,7,0.033,0.032,0.001,Risky_Product
BOX OF 6 MINI 50'S CRACKERS,329,11,0.033,0.032,0.001,Risky_Product
ASSORTED TUTTI FRUTTI PEN,61,2,0.033,0.032,0.001,Risky_Product
CHRISTMAS STAR WISH LIST CHALKBOARD,214,7,0.033,0.032,0.001,Risky_Product
CHRISTMAS RETROSPOT STAR WOOD,123,4,0.033,0.032,0.001,Risky_Product
COLUMBIAN CANDLE ROUND,30,1,0.033,0.032,0.001,Risky_Product
HAND WARMER UNION JACK,329,11,0.033,0.032,0.001,Risky_Product
HOME SWEET HOME METAL SIGN,61,2,0.033,0.032,0.001,Risky_Product
EGG CUP NATURAL CHICKEN,30,1,0.033,0.032,0.001,Risky_Product
DINOSAUR LUNCH BOX WITH CUTLERY,30,1,0.033,0.032,0.001,Risky_Product
DOORMAT KEEP CALM AND COME IN,303,10,0.033,0.032,0.001,Risky_Product
FAIRY CAKES NOTEBOOK A7 SIZE,30,1,0.033,0.032,0.001,Risky_Product
FRENCH PAISLEY CUSHION COVER,30,1,0.033,0.032,0.001,Risky_Product
PACK OF 12 SUKI TISSUES,92,3,0.033,0.032,0.001,Risky_Product
PACK OF 60 SPACEBOY CAKE CASES,121,4,0.033,0.032,0.001,Risky_Product
PANTRY MAGNETIC SHOPPING LIST,211,7,0.033,0.032,0.001,Risky_Product
MIRRORED DISCO BALL,60,2,0.033,0.032,0.001,Risky_Product
MEMO BOARD COTTAGE DESIGN,92,3,0.033,0.032,0.001,Risky_Product
LUNCH BAG SUKI DESIGN,240,8,0.033,0.032,0.001,Risky_Product
MAGIC DRAWING SLATE DOLLY GIRL,92,3,0.033,0.032,0.001,Risky_Product
LAVENDER SCENTED FABRIC HEART,30,1,0.033,0.032,0.001,Risky_Product
SET OF 20 VINTAGE CHRISTMAS NAPKINS,365,12,0.033,0.032,0.001,Risky_Product
SET OF 6 3D KIT CARDS FOR KIDS,90,3,0.033,0.032,0.001,Risky_Product
SET OF 72 RETROSPOT PAPER DOILIES,121,4,0.033,0.032,0.001,Risky_Product
PIZZA PLATE IN BOX,30,1,0.033,0.032,0.001,Risky_Product
RIBBON REEL SOCKS AND MITTENS,60,2,0.033,0.032,0.001,Risky_Product
SKULLS WRITING SET,91,3,0.033,0.032,0.001,Risky_Product
SMALL CHOCOLATES PINK BOWL,60,2,0.033,0.032,0.001,Risky_Product
SWEETHEART WIRE MAGAZINE RACK,30,1,0.033,0.032,0.001,Risky_Product
WOODEN CROQUET GARDEN SET,60,2,0.033,0.032,0.001,Risky_Product
WALL ART VINTAGE HEART,30,1,0.033,0.032,0.001,Risky_Product
WHITE METAL LANTERN,30,1,0.033,0.032,0.001,Risky_Product
WHITE HANGING HEART T-LIGHT HOLDER,456,15,0.033,0.032,0.001,Risky_Product
WALL ART ANIMALS AND NATURE,30,1,0.033,0.032,0.001,Risky_Product
VINTAGE DOILY TRAVEL SEWING KIT,371,12,0.032,0.032,0,Neutral
WRAP GINGHAM ROSE,31,1,0.032,0.032,0,Neutral
WOODEN UNION JACK BUNTING,31,1,0.032,0.032,0,Neutral
ZINC WILLIE WINKIE CANDLE STICK,95,3,0.032,0.032,0,Neutral
TRADITIONAL KNITTING NANCY,250,8,0.032,0.032,0,Neutral
TOTE BAG I LOVE LONDON,31,1,0.032,0.032,0,Neutral
TV DINNER TRAY AIR HOSTESS,31,1,0.032,0.032,0,Neutral
ROUND SNACK BOXES SET OF 4 FRUITS,126,4,0.032,0.032,0,Neutral
PLASTERS IN TIN WOODLAND ANIMALS,219,7,0.032,0.032,0,Neutral
RECIPE BOX RETROSPOT,157,5,0.032,0.032,0,Neutral
SET/3 DECOUPAGE STACKING TINS,31,1,0.032,0.032,0,Neutral
SET 12 KIDS COLOUR CHALK STICKS,125,4,0.032,0.032,0,Neutral
LUNCH BAG APPLE DESIGN,218,7,0.032,0.032,0,Neutral
LUNCH BAG DOLLY GIRL DESIGN,158,5,0.032,0.032,0,Neutral
PINK HEART SHAPE LOVE BUCKET,31,1,0.032,0.032,0,Neutral
PACK OF 72 RETROSPOT CAKE CASES,248,8,0.032,0.032,0,Neutral
FULL ENGLISH BREAKFAST PLATE,93,3,0.032,0.032,0,Neutral
FOLDING UMBRELLA BLACKBLUE POLKADOT,31,1,0.032,0.032,0,Neutral
FOLKART STAR CHRISTMAS DECORATIONS,94,3,0.032,0.032,0,Neutral
FELTCRAFT GIRL AMELIE KIT,126,4,0.032,0.032,0,Neutral
DOLLY GIRL LUNCH BOX,154,5,0.032,0.032,0,Neutral
DOLLY GIRL MINI BACKPACK,94,3,0.032,0.032,0,Neutral
ICE CREAM SUNDAE LIP GLOSS,94,3,0.032,0.032,0,Neutral
GLASS BON BON JAR,63,2,0.032,0.032,0,Neutral
GLASS JAR DIGESTIVE BISCUITS,31,1,0.032,0.032,0,Neutral
CIRCUS PARADE CHILDRENS EGG CUP,31,1,0.032,0.032,0,Neutral
3D VINTAGE CHRISTMAS STICKERS,93,3,0.032,0.032,0,Neutral
6 RIBBONS EMPIRE,62,2,0.032,0.032,0,Neutral
ADVENT CALENDAR GINGHAM SACK,130,4,0.031,0.032,-0.001,Hero_Product
BEWARE OF THE CAT METAL SIGN,98,3,0.031,0.032,-0.001,Hero_Product
BINGO SET,131,4,0.031,0.032,-0.001,Hero_Product
DAIRY MAID LARGE MILK JUG,32,1,0.031,0.032,-0.001,Hero_Product
CHILDRENS CUTLERY POLKADOT GREEN,64,2,0.031,0.032,-0.001,Hero_Product
CHARLOTTE BAG PINK POLKADOT,128,4,0.031,0.032,-0.001,Hero_Product
HAND WARMER BIRD DESIGN,353,11,0.031,0.032,-0.001,Hero_Product
GREEN VINTAGE SPOT BEAKER,32,1,0.031,0.032,-0.001,Hero_Product
HOME SWEET HOME CUSHION COVER,130,4,0.031,0.032,-0.001,Hero_Product
PINK REGENCY TEACUP AND SAUCER,130,4,0.031,0.032,-0.001,Hero_Product
PINK POLKADOT BOWL,65,2,0.031,0.032,-0.001,Hero_Product
PINK DOG BOWL,32,1,0.031,0.032,-0.001,Hero_Product
PARLOUR CERAMIC WALL HOOK,32,1,0.031,0.032,-0.001,Hero_Product
MISTLETOE HEART WREATH CREAM,64,2,0.031,0.032,-0.001,Hero_Product
LANDMARK FRAME CAMDEN TOWN,97,3,0.031,0.032,-0.001,Hero_Product
JUMBO BAG RED RETROSPOT,415,13,0.031,0.032,-0.001,Hero_Product
SET OF 20 KIDS COOKIE CUTTERS,161,5,0.031,0.032,-0.001,Hero_Product
SET OF 12 MINI LOAF BAKING CASES,194,6,0.031,0.032,-0.001,Hero_Product
SET OF SALT AND PEPPER TOADSTOOLS,32,1,0.031,0.032,-0.001,Hero_Product
