Description,Repeat_Customers,Unique_Customers,Repeat_Rate,Repeat_Product_Flag
CARRIAGE,3,31,0.0968,1
CARROT CHARLIE+LOLA COASTER SET,5,59,0.0847,1
CARTOON PENCIL SHARPENERS,2,31,0.0645,1
CAT AND BIRD WALL ART,0,2,0,0
CAT BOWL VINTAGE CREAM,2,27,0.0741,1
CAT WITH SUNGLASSES BLANK CARD,0,2,0,0
CD WALL TIDY BLUE OFFICE,0,2,0,0
CD WALL TIDY RED FLOWERS,0,2,0,0
CERAMIC BOWL WITH STRAWBERRY DESIGN,2,31,0.0645,1
CERAMIC CAKE BOWL + HANGING CAKES,3,22,0.1364,1
CERAMIC CAKE DESIGN SPOTTED MUG,2,37,0.0541,1
CERAMIC CAKE DESIGN SPOTTED PLATE,2,19,0.1053,1
CERAMIC CAKE STAND + HANGING CAKES,5,40,0.125,1
CERAMIC CHERRY CAKE MONEY BANK,4,91,0.044,1
CERAMIC HEART FAIRY CAKE MONEY BANK,5,98,0.051,1
CERAMIC LOVE HEART MONEY BANK,0,13,0,0
CERAMIC PIRATE CHEST MONEY BANK,2,51,0.0392,1
CERAMIC PLATE STRAWBERRY DESIGN,2,41,0.0488,1
CERAMIC STRAWBERRY CAKE MONEY BANK,9,90,0.1,1
CERAMIC STRAWBERRY DESIGN MUG,4,68,0.0588,1
CERAMIC STRAWBERRY MONEY BOX,0,5,0,0
CERAMIC STRAWBERRY TRINKET TRAY,0,2,0,0
CHAMBRE HOOK,1,20,0.05,1
CHAMPAGNE TRAY BLANK CARD,0,2,0,0
CHARLIE & LOLA WASTEPAPER BIN BLUE,3,42,0.0714,1
CHARLIE & LOLA WASTEPAPER BIN FLORA,3,51,0.0588,1
CHARLIE + LOLA RED HOT WATER BOTTLE,7,98,0.0714,1
CHARLIE LOLA BLUE HOT WATER BOTTLE,2,26,0.0769,1
CHARLIE+LOLA MY ROOM DOOR SIGN,4,44,0.0909,1
CHARLIE+LOLA PINK HOT WATER BOTTLE,3,74,0.0405,1
CHARLIE+LOLA RED HOT WATER BOTTLE,4,37,0.1081,1
"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",7,44,0.1591,1
CHARLOTTE BAG APPLES DESIGN,13,123,0.1057,1
CHARLOTTE BAG DOLLY GIRL DESIGN,14,100,0.14,1
CHARLOTTE BAG PINK POLKADOT,17,132,0.1288,1
CHARLOTTE BAG SUKI DESIGN,26,150,0.1733,1
CHARLOTTE BAG VINTAGE ALPHABET,13,113,0.115,1
CHERRY BLOSSOM DECORATIVE FLASK,2,42,0.0476,1
CHERRY BLOSSOM LUGGAGE TAG,1,5,0.2,1
CHERRY BLOSSOM PASSPORT COVER,0,11,0,0
CHERRY CROCHET FOOD COVER,0,7,0,0
CHERUB HEART DECORATION GOLD,5,52,0.0962,1
CHERUB HEART DECORATION SILVER,6,52,0.1154,1
CHEST 7 DRAWER MA CAMPAGNE,0,5,0,0
CHEST NATURAL WOOD 20 DRAWERS,0,2,0,0
CHEST OF DRAWERS GINGHAM HEART,2,21,0.0952,1
CHICK GREY HOT WATER BOTTLE,24,187,0.1283,1
CHILDRENS APRON APPLES DESIGN,6,102,0.0588,1
CHILDREN'S APRON DOLLY GIRL,14,120,0.1167,1
CHILDRENS APRON SPACEBOY DESIGN,20,207,0.0966,1
CHILDREN'S CIRCUS PARADE MUG,2,22,0.0909,1
CHILDRENS CUTLERY CIRCUS PARADE,4,44,0.0909,1
CHILDRENS CUTLERY DOLLY GIRL,18,103,0.1748,1
CHILDRENS CUTLERY POLKADOT BLUE,6,97,0.0619,1
CHILDRENS CUTLERY POLKADOT GREEN,5,65,0.0769,1
CHILDRENS CUTLERY POLKADOT PINK,12,137,0.0876,1
CHILDRENS CUTLERY RETROSPOT RED,3,84,0.0357,1
CHILDRENS CUTLERY SPACEBOY,17,119,0.1429,1
CHILDRENS DOLLY GIRL MUG,2,55,0.0364,1
CHILDREN'S SPACEBOY MUG,5,59,0.0847,1
CHILDRENS TOY COOKING UTENSIL SET,7,100,0.07,1
CHILDS BREAKFAST SET CIRCUS PARADE,4,73,0.0548,1
CHILDS BREAKFAST SET DOLLY GIRL,6,71,0.0845,1
CHILDS BREAKFAST SET SPACEBOY,11,69,0.1594,1
CHILDS GARDEN FORK BLUE,1,17,0.0588,1
CHILDS GARDEN FORK PINK,0,12,0,0
CHILDS GARDEN RAKE BLUE,0,2,0,0
CHILDS GARDEN RAKE PINK,1,14,0.0714,1
CHILDS GARDEN SPADE BLUE,1,13,0.0769,1
CHILDS GARDEN SPADE PINK,1,15,0.0667,1
CHILLI LIGHTS,24,191,0.1257,1
CHOC TRUFFLE GOLD TRINKET POT,0,26,0,0
CHOCOLATE 1 WICK MORRIS BOX CANDLE,1,30,0.0333,1
CHOCOLATE 3 WICK MORRIS BOX CANDLE,0,13,0,0
CHOCOLATE BOX RIBBONS,6,64,0.0938,1
CHOCOLATE CALCULATOR,3,57,0.0526,1
CHOCOLATE HOT WATER BOTTLE,78,387,0.2016,1
CHOCOLATE THIS WAY METAL SIGN,11,113,0.0973,1
CHRISTMAS CARD SCREEN PRINT,1,38,0.0263,1
CHRISTMAS CARD SINGING ANGEL,0,20,0,0
CHRISTMAS CARD STACK OF PRESENTS,0,7,0,0
CHRISTMAS CRAFT LITTLE FRIENDS,49,352,0.1392,1
CHRISTMAS CRAFT TREE TOP ANGEL,36,274,0.1314,1
CHRISTMAS CRAFT WHITE FAIRY,23,264,0.0871,1
CHRISTMAS DECOUPAGE CANDLE,1,25,0.04,1
CHRISTMAS GARLAND STARS;TREES,0,12,0,0
CHRISTMAS GINGHAM STAR,10,104,0.0962,1
CHRISTMAS GINGHAM TREE,9,92,0.0978,1
CHRISTMAS HANGING SNOWFLAKE,4,59,0.0678,1
CHRISTMAS HANGING STAR WITH BELL,29,173,0.1676,1
CHRISTMAS HANGING TREE WITH BELL,3,55,0.0545,1
CHRISTMAS LIGHTS 10 REINDEER,25,206,0.1214,1
CHRISTMAS LIGHTS 10 SANTAS,12,120,0.1,1
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,7,78,0.0897,1
CHRISTMAS METAL POSTCARD WITH BELLS,5,57,0.0877,1
CHRISTMAS METAL TAGS ASSORTED,4,112,0.0357,1
CHRISTMAS MUSICAL ZINC STAR,10,79,0.1266,1
CHRISTMAS MUSICAL ZINC TREE,6,52,0.1154,1
CHRISTMAS PUDDING TRINKET POT,17,157,0.1083,1
CHRISTMAS RETROSPOT ANGEL WOOD,14,112,0.125,1
CHRISTMAS RETROSPOT STAR WOOD,16,124,0.129,1
CHRISTMAS RETROSPOT TREE WOOD,13,115,0.113,1
CHRISTMAS STAR WISH LIST CHALKBOARD,20,215,0.093,1
CHRISTMAS TABLE SILVER CANDLE SPIKE,7,66,0.1061,1
CHRISTMAS TOILET ROLL,17,127,0.1339,1
CHRISTMAS TREE DECORATION WITH BELL,0,2,0,0
CHRISTMAS TREE HANGING GOLD,4,45,0.0889,1
CHRISTMAS TREE HANGING SILVER,4,45,0.0889,1
CHRISTMAS TREE HEART DECORATION,0,18,0,0
CHRISTMAS TREE PAINTED ZINC,3,45,0.0667,1
CHRISTMAS TREE STAR DECORATION,1,37,0.027,1
CHRISTMAS TREE T-LIGHT HOLDER,0,8,0,0
CHRYSANTHEMUM JOURNAL,2,15,0.1333,1
CHRYSANTHEMUM NOTEBOOK,0,20,0,0
CHRYSANTHEMUM POCKET BOOK,0,11,0,0
CHRYSANTHEMUM SKETCHBOOK,2,24,0.0833,1
CHUNKY SILVER NECKLACE PASTEL FLOWE,0,6,0,0
CINAMMON & ORANGE WREATH,0,32,0,0
CINAMMON SET OF 9 T-LIGHTS,6,46,0.1304,1
CINDERELLA CHANDELIER,1,7,0.1429,1
CINNAMON SCENTED VOTIVE CANDLE,0,24,0,0
CIRCUS PARADE BABY GIFT SET,0,28,0,0
CIRCUS PARADE CHILDRENS EGG CUP,1,31,0.0323,1
CIRCUS PARADE LUNCH BOX,3,63,0.0476,1
CITRONELLA CANDLE FLOWERPOT,0,24,0,0
CITRONELLA CANDLE GARDEN POT,1,20,0.05,1
CLAM SHELL SMALL,0,11,0,0
CLASSIC BICYCLE CLIPS,13,145,0.0897,1
CLASSIC CAFE SUGAR DISPENSER,11,92,0.1196,1
CLASSIC CHROME BICYCLE BELL,35,273,0.1282,1
CLASSIC CROME BICYCLE BELL,0,3,0,0
CLASSIC DIAMANTE NECKLACE JET,1,3,0.3333,1
CLASSIC FRENCH STYLE BASKET BROWN,1,23,0.0435,1
CLASSIC FRENCH STYLE BASKET NATURAL,0,5,0,0
CLASSIC GLASS COOKIE JAR,18,139,0.1295,1
CLASSIC METAL BIRDCAGE PLANT HOLDER,5,76,0.0658,1
CLASSICAL ROSE TABLE LAMP,0,2,0,0
CLEAR ACRYLIC FACETED BANGLE,0,3,0,0
CLEAR CRYSTAL STAR PHONE CHARM,0,6,0,0
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,3,75,0.04,1
CLEAR LOVE BIRD T-LIGHT HOLDER,0,8,0,0
CLOCK MAGNET MUM'S KITCHEN,0,14,0,0
CLOTHES PEGS RETROSPOT PACK 24,18,167,0.1078,1
COCKLE SHELL DISH,1,18,0.0556,1
COCKTAIL SWORDS 50 PIECES,1,38,0.0263,1
COFFEE MUG APPLES DESIGN,5,58,0.0862,1
COFFEE MUG BLUE PAISLEY DESIGN,0,14,0,0
COFFEE MUG CAT + BIRD DESIGN,6,51,0.1176,1
COFFEE MUG DOG + BALL DESIGN,6,38,0.1579,1
COFFEE MUG PEARS DESIGN,4,50,0.08,1
COFFEE MUG PINK PAISLEY DESIGN,1,7,0.1429,1
COFFEE SCENT PILLAR CANDLE,1,20,0.05,1
COLOUR GLASS T-LIGHT HOLDER HANGING,6,74,0.0811,1
COLOUR GLASS. STAR T-LIGHT HOLDER,6,79,0.0759,1
COLOURED GLASS STAR T-LIGHT HOLDER,10,75,0.1333,1
COLOURING PENCILS BROWN TUBE,6,42,0.1429,1
COLUMBIAN CANDLE RECTANGLE,0,11,0,0
COLUMBIAN CANDLE ROUND,2,31,0.0645,1
COLUMBIAN CUBE CANDLE,1,9,0.1111,1
CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,0,2,0,0
COOK WITH WINE METAL SIGN,15,161,0.0932,1
CORDIAL GLASS JUG,0,7,0,0
CORDIAL JUG,0,2,0,0
COSMETIC BAG VINTAGE ROSE PAISLEY,1,21,0.0476,1
COSY HOUR CIGAR BOX MATCHES,9,111,0.0811,1
COSY SLIPPER SHOES LARGE GREEN,0,15,0,0
COSY SLIPPER SHOES SMALL GREEN,3,34,0.0882,1
COSY SLIPPER SHOES SMALL RED,0,2,0,0
COTE D'AZURE NECKLACE,0,2,0,0
COTTON APRON PANTRY DESIGN,4,48,0.0833,1
COWBOYS AND INDIANS BIRTHDAY CARD,1,57,0.0175,1
CRACKED GLAZE NECKLACE IVORY,1,1,1,1
CRAZY DAISY HEART DECORATION,1,11,0.0909,1
CREAM BUNNY EASTER EGG BASKET,0,1,0,0
CREAM CLIMBING HYDRANGA ART FLOWER,0,4,0,0
CREAM CUPID HEARTS COAT HANGER,1,53,0.0189,1
CREAM DELPHINIUM ARTIFICIAL FLOWER,0,2,0,0
CREAM HANGING HEART T-LIGHT HOLDER,0,14,0,0
CREAM HEART CARD HOLDER,14,137,0.1022,1
CREAM SLICE FLANNEL CHOCOLATE SPOT,2,13,0.1538,1
CREAM SLICE FLANNEL PINK SPOT,3,25,0.12,1
CREAM SWEETHEART MINI CHEST,18,137,0.1314,1
CREAM WALL PLANTER HEART SHAPED,0,16,0,0
CROCHET LILAC/RED BEAR KEYRING,0,1,0,0
CROCHET ROSE PURSE WITH SUEDE BACK,0,6,0,0
CRUK Commission,1,8,0.125,1
CRYSTAL CZECH CROSS PHONE CHARM,1,6,0.1667,1
CRYSTAL DIAMANTE STAR BROOCH,0,6,0,0
CRYSTAL FROG PHONE CHARM,1,9,0.1111,1
CRYSTAL HOOP EARRING FLORAL LEAF,0,6,0,0
CRYSTAL PAIR HEART HAIR SLIDES,0,2,0,0
CRYSTAL SEA HORSE PHONE CHARM,1,7,0.1429,1
CRYSTAL STILETTO PHONE CHARM,0,2,0,0
CRYSTAL STUD EARRINGS ASSORTED COL,0,13,0,0
CRYSTAL STUD EARRINGS CLEAR DISPLAY,0,7,0,0
CUBIC MUG FLOCK PINK ON BROWN,0,5,0,0
CUPBOARD 3 DRAWER MA CAMPAGNE,3,23,0.1304,1
CUPCAKE LACE PAPER SET 6,3,45,0.0667,1
CUPID DESIGN SCENTED CANDLES,1,15,0.0667,1
CURIO CABINET LINEN AND LACE,0,6,0,0
CURIOUS IMAGES GIFT WRAP SET,2,45,0.0444,1
CUSHION COVER PINK UNION JACK,1,15,0.0667,1
CUT GLASS HEXAGON T-LIGHT HOLDER,0,3,0,0
CUT GLASS T-LIGHT HOLDER OCTAGON,1,22,0.0455,1
CUTE CATS TAPE,1,14,0.0714,1
DAIRY MAID LARGE MILK JUG,2,32,0.0625,1
DAIRY MAID STRIPE MUG,1,7,0.1429,1
DAIRY MAID TOASTRACK,2,26,0.0769,1
DAIRY MAID TRADITIONAL TEAPOT,1,19,0.0526,1
DAISIES HONEYCOMB GARLAND,0,10,0,0
DAISY FOLKART HEART DECORATION,0,2,0,0
DAISY GARDEN MARKER,0,8,0,0
DAISY HAIR BAND,0,2,0,0
DAISY JOURNAL,1,20,0.05,1
DAISY NOTEBOOK,0,13,0,0
DAISY SKETCHBOOK,0,17,0,0
DANISH ROSE DECORATIVE PLATE,3,26,0.1154,1
DANISH ROSE DELUXE COASTER,1,14,0.0714,1
DANISH ROSE PHOTO FRAME,0,5,0,0
DANISH ROSE ROUND SEWING BOX,1,34,0.0294,1
DANISH ROSE TRINKET TRAYS,0,11,0,0
DANISH ROSE UMBRELLA STAND,0,2,0,0
DARK BIRD HOUSE TREE DECORATION,3,74,0.0405,1
DECORATION ; WOBBLY CHICKEN; METAL,0,14,0,0
DECORATION ; WOBBLY RABBIT ; METAL,0,8,0,0
DECORATION PINK CHICK MAGIC GARDEN,1,3,0.3333,1
DECORATION SITTING BUNNY,0,12,0,0
DECORATION WHITE CHICK MAGIC GARDEN,0,2,0,0
DECORATION WOBBLY CHICKEN,0,19,0,0
DECORATION WOBBLY RABBIT METAL,0,21,0,0
DECORATIVE CATS BATHROOM BOTTLE,0,19,0,0
DECORATIVE FLORE BATHROOM BOTTLE,2,18,0.1111,1
DECORATIVE PLANT POT WITH FRIEZE,0,4,0,0
DECORATIVE ROSE BATHROOM BOTTLE,1,17,0.0588,1
DECORATIVE VINTAGE COFFEE BOX,4,26,0.1538,1
DECORATIVE WICKER HEART LARGE,20,167,0.1198,1
DECORATIVE WICKER HEART MEDIUM,17,170,0.1,1
DECORATIVE WICKER HEART SMALL,5,80,0.0625,1
DECOUPAGE;GREETING CARD,4,12,0.3333,1
DECROTIVEVINTAGE COFFEE GRINDER BOX,0,8,0,0
DELUXE SEWING KIT,9,77,0.1169,1
DIAMANTE BOW BROOCH BLACK COLOUR,0,2,0,0
DIAMANTE BOW BROOCH GREEN COLOUR,0,7,0,0
DIAMANTE BOW BROOCH RED COLOUR,0,3,0,0
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,0,2,0,0
DIAMANTE HAIR GRIP PACK/2 LT ROSE,0,2,0,0
DIAMANTE HAIR GRIP PACK/2 MONTANA,0,2,0,0
DIAMANTE HAIR GRIP PACK/2 RUBY,0,2,0,0
DIAMANTE HEART SHAPED WALL MIRROR,2,15,0.1333,1
DIAMANTE HEART SHAPED WALL MIRROR;,1,15,0.0667,1
DIAMANTE NECKLACE BLACK,0,2,0,0
DIAMANTE NECKLACE PURPLE,1,2,0.5,1
DIAMANTE RING ASSORTED IN BOX.,0,22,0,0
DIAMOND LAS VEGAS NECKLACE 45CM,0,3,0,0
DINOSAUR HEIGHT CHART STICKER SET,0,11,0,0
DINOSAUR KEYRINGS ASSORTED,0,4,0,0
DINOSAUR LUNCH BOX WITH CUTLERY,4,30,0.1333,1
DINOSAUR PARTY BAG + STICKER SET,0,19,0,0
DINOSAURS WRITING SET,11,106,0.1038,1
DISCO BALL CHRISTMAS DECORATION,14,148,0.0946,1
DISCO BALL ROTATOR BATTERY OPERATED,4,37,0.1081,1
Discount,2,12,0.1667,1
DO NOT TOUCH MY STUFF DOOR HANGER,0,11,0,0
DOCTOR'S BAG SOFT TOY,1,25,0.04,1
DOG AND BALL WALL ART,0,2,0,0
DOG BOWL CHASING BALL DESIGN,2,36,0.0556,1
DOG BOWL VINTAGE CREAM,2,27,0.0741,1
DOG LICENCE WALL ART,1,18,0.0556,1
DOG TOY WITH PINK CROCHET SKIRT,1,35,0.0286,1
DOGGY RUBBER,1,17,0.0588,1
DOILEY STORAGE TIN,0,2,0,0
DOILY THANK YOU CARD,4,74,0.0541,1
DOLLY CABINET 2 DRAWERS,2,33,0.0606,1
DOLLY CABINET 3 DRAWERS,6,56,0.1071,1
DOLLY GIRL BABY GIFT SET,0,25,0,0
DOLLY GIRL BEAKER,7,65,0.1077,1
DOLLY GIRL CHILDRENS BOWL,6,69,0.087,1
DOLLY GIRL CHILDRENS CUP,8,69,0.1159,1
DOLLY GIRL CHILDRENS EGG CUP,2,22,0.0909,1
DOLLY GIRL LUNCH BOX,24,158,0.1519,1
DOLLY GIRL MINI BACKPACK,8,95,0.0842,1
DOLLY GIRL WALL ART,0,4,0,0
DOLLY HONEYCOMB GARLAND,0,4,0,0
DOLLY MIXTURE CHILDREN'S UMBRELLA,1,17,0.0588,1
DOOR HANGER MUM + DADS ROOM,2,28,0.0714,1
DOORMAT 3 SMILEY CATS,2,44,0.0455,1
DOORMAT AIRMAIL,1,45,0.0222,1
DOORMAT BLACK FLOCK,6,54,0.1111,1
DOORMAT CHRISTMAS VILLAGE,1,9,0.1111,1
DOORMAT ENGLISH ROSE,5,76,0.0658,1
DOORMAT FAIRY CAKE,3,53,0.0566,1
DOORMAT FANCY FONT HOME SWEET HOME,11,114,0.0965,1
DOORMAT HEARTS,9,114,0.0789,1
DOORMAT HOME SWEET HOME BLUE,4,74,0.0541,1
DOORMAT I LOVE LONDON,0,29,0,0
DOORMAT KEEP CALM AND COME IN,47,308,0.1526,1
DOORMAT MERRY CHRISTMAS RED,3,40,0.075,1
DOORMAT MULTICOLOUR STRIPE,3,28,0.1071,1
DOORMAT NEIGHBOURHOOD WITCH,3,22,0.1364,1
DOORMAT NEW ENGLAND,12,134,0.0896,1
DOORMAT PEACE ON EARTH BLUE,0,15,0,0
DOORMAT RED RETROSPOT,18,143,0.1259,1
DOORMAT RESPECTABLE HOUSE,2,37,0.0541,1
DOORMAT SPOTTY HOME SWEET HOME,3,96,0.0313,1
DOORMAT TOPIARY,8,48,0.1667,1
DOORMAT UNION FLAG,11,109,0.1009,1
DOORMAT UNION JACK GUNS AND ROSES,1,23,0.0435,1
DOORMAT VINTAGE LEAF,10,109,0.0917,1
DOORMAT WELCOME PUPPIES,3,51,0.0588,1
DOORMAT WELCOME SUNRISE,2,26,0.0769,1
DOORMAT WELCOME TO OUR HOME,4,62,0.0645,1
DOORSTOP FOOTBALL DESIGN,1,35,0.0286,1
DOORSTOP RACING CAR DESIGN,0,20,0,0
DOORSTOP RETROSPOT HEART,5,84,0.0595,1
DOTCOM POSTAGE,1,8,0.125,1
DOUGHNUT LIP GLOSS,20,143,0.1399,1
DRAGONS BLOOD INCENSE,0,3,0,0
DRAWER KNOB CERAMIC BLACK,2,29,0.069,1
DRAWER KNOB CERAMIC IVORY,9,100,0.09,1
DRAWER KNOB CERAMIC RED,1,28,0.0357,1
DRAWER KNOB CRACKLE GLAZE BLUE,1,8,0.125,1
DRAWER KNOB CRACKLE GLAZE GREEN,5,55,0.0909,1
DRAWER KNOB CRACKLE GLAZE IVORY,4,52,0.0769,1
DRAWER KNOB CRACKLE GLAZE PINK,4,58,0.069,1
DRAWER KNOB VINTAGE GLASS BALL,0,23,0,0
DRAWER KNOB VINTAGE GLASS HEXAGON,2,16,0.125,1
DRAWER KNOB VINTAGE GLASS STAR,0,25,0,0
DROP EARRINGS W FLOWER & LEAF,0,2,0,0
DUSTY PINK CHRISTMAS TREE 60CM,0,4,0,0
EASTER BUNNY WITH BASKET ON BACK,0,4,0,0
EASTER CRAFT 4 CHICKS,0,10,0,0
EASTER DECORATION EGG BUNNY,1,21,0.0476,1
EASTER DECORATION HANGING BUNNY,0,27,0,0
EASTER DECORATION NATURAL CHICK,0,8,0,0
EASTER TIN BUNNY BOUQUET,0,9,0,0
EASTER TIN CHICKS PINK DAISY,0,2,0,0
EASTER TREE YELLOW BIRDS,0,4,0,0
EAU DE NIL LOVE BIRD CANDLE,1,5,0.2,1
EAU DE NILE HEART SHAPE PHOTO FRAME,0,13,0,0
EAU DE NILE JEWELLED PHOTOFRAME,0,11,0,0
EAU DE NILE JEWELLED T-LIGHT HOLDER,0,7,0,0
ECONOMY LUGGAGE TAG,2,14,0.1429,1
EDWARDIAN DROP EARRINGS JET BLACK,0,1,0,0
EDWARDIAN HEART PHOTO FRAME,0,12,0,0
EDWARDIAN PARASOL BLACK,7,83,0.0843,1
EDWARDIAN PARASOL NATURAL,7,70,0.1,1
EDWARDIAN PARASOL PINK,3,37,0.0811,1
EDWARDIAN PARASOL RED,7,81,0.0864,1
EDWARDIAN PHOTO FRAME,1,13,0.0769,1
EGG CUP HENRIETTA HEN CREAM,1,40,0.025,1
EGG CUP HENRIETTA HEN PINK,2,27,0.0741,1
EGG CUP MILKMAID HEIDI,3,73,0.0411,1
EGG CUP MILKMAID HELGA,5,49,0.102,1
EGG CUP MILKMAID INGRID,4,63,0.0635,1
EGG CUP NATURAL CHICKEN,3,30,0.1,1
EGG FRYING PAN BLUE,5,44,0.1136,1
EGG FRYING PAN IVORY,4,53,0.0755,1
EGG FRYING PAN MINT,2,43,0.0465,1
EGG FRYING PAN PINK,5,42,0.119,1
EGG FRYING PAN RED,10,61,0.1639,1
EIGHT PIECE SNAKE SET,2,45,0.0444,1
ELEPHANT BIRTHDAY CARD,4,75,0.0533,1
ELEPHANT CARNIVAL POUFFE,0,2,0,0
ELEPHANT; BIRTHDAY CARD,5,53,0.0943,1
EMBOSSED GLASS TEALIGHT HOLDER,5,72,0.0694,1
EMBOSSED HEART TRINKET BOX,2,28,0.0714,1
EMBROIDERED RIBBON REEL CLAIRE,1,16,0.0625,1
EMBROIDERED RIBBON REEL DAISY,2,54,0.037,1
EMBROIDERED RIBBON REEL EMILY,3,69,0.0435,1
EMBROIDERED RIBBON REEL RACHEL,1,27,0.037,1
EMBROIDERED RIBBON REEL REBECCA,1,39,0.0256,1
EMBROIDERED RIBBON REEL ROSIE,4,45,0.0889,1
EMBROIDERED RIBBON REEL RUBY,1,21,0.0476,1
EMBROIDERED RIBBON REEL SALLY,5,54,0.0926,1
EMBROIDERED RIBBON REEL SOPHIE,2,34,0.0588,1
EMBROIDERED RIBBON REEL SUSIE,3,53,0.0566,1
EMERGENCY FIRST AID TIN,4,27,0.1481,1
EMPIRE BIRTHDAY CARD,1,27,0.037,1
EMPIRE DESIGN ROSETTE,0,5,0,0
EMPIRE GIFT WRAP,0,36,0,0
EMPIRE TISSUE BOX,12,74,0.1622,1
EMPIRE UNION JACK TV DINNER TRAY,2,44,0.0455,1
ENAMEL BLUE RIM COFFEE CONTAINER,0,6,0,0
ENAMEL BREAD BIN CREAM,9,91,0.0989,1
ENAMEL COLANDER CREAM,1,26,0.0385,1
ENAMEL FIRE BUCKET CREAM,1,28,0.0357,1
ENAMEL FLOWER JUG CREAM,1,9,0.1111,1
ENAMEL MEASURING JUG CREAM,6,75,0.08,1
ENAMEL PINK COFFEE CONTAINER,0,1,0,0
ENAMEL WASH BOWL CREAM,2,29,0.069,1
ENAMEL WATERING CAN CREAM,1,31,0.0323,1
ENCHANTED BIRD COATHANGER 5 HOOK,7,60,0.1167,1
ENGLISH ROSE GARDEN SECATEURS,0,24,0,0
ENGLISH ROSE HOT WATER BOTTLE,15,155,0.0968,1
ENGLISH ROSE NOTEBOOK A7 SIZE,9,97,0.0928,1
ENGLISH ROSE SMALL SCENTED FLOWER,0,19,0,0
ENGLISH ROSE SPIRIT LEVEL,5,54,0.0926,1
ENVELOPE 50 BLOSSOM IMAGES,1,14,0.0714,1
EUCALYPTUS & PINECONE WREATH,1,13,0.0769,1
FAIRY CAKE BIRTHDAY CANDLE SET,1,18,0.0556,1
FAIRY CAKE DESIGN UMBRELLA,0,2,0,0
FAIRY CAKE FLANNEL ASSORTED COLOUR,24,165,0.1455,1
FAIRY CAKES NOTEBOOK A6 SIZE,2,45,0.0444,1
FAIRY CAKES NOTEBOOK A7 SIZE,1,31,0.0323,1
FAIRY DREAMS INCENSE,0,13,0,0
FAIRY TALE COTTAGE NIGHT LIGHT,6,74,0.0811,1
FAMILY ALBUM WHITE PICTURE FRAME,12,85,0.1412,1
FAMILY PHOTO FRAME CORNICE,8,84,0.0952,1
FAN BLACK FRAME,0,7,0,0
FANCY FONT BIRTHDAY CARD,11,101,0.1089,1
FANCY FONT BIRTHDAY CARD;,2,53,0.0377,1
FANCY FONTS BIRTHDAY WRAP,2,84,0.0238,1
FAUX FUR CHOCOLATE THROW,1,27,0.037,1
FAWN BLUE HOT WATER BOTTLE,29,226,0.1283,1
FEATHER PEN;COAL BLACK,11,57,0.193,1
FEATHER PEN;HOT PINK,15,85,0.1765,1
FEATHER PEN;LIGHT PINK,10,51,0.1961,1
FELT EGG COSY BLUE RABBIT,4,16,0.25,1
FELT EGG COSY CHICKEN,4,20,0.2,1
FELT EGG COSY LADYBIRD,2,8,0.25,1
FELT EGG COSY WHITE RABBIT,2,18,0.1111,1
FELT FARM ANIMAL RABBIT,0,4,0,0
FELT FARM ANIMAL SHEEP,0,2,0,0
FELT TOADSTOOL LARGE,0,10,0,0
FELT TOADSTOOL SMALL,1,20,0.05,1
FELTCRAFT 6 FLOWER FRIENDS,0,8,0,0
FELTCRAFT BOY JEAN-PAUL KIT,3,54,0.0556,1
FELTCRAFT BUTTERFLY HEARTS,4,34,0.1176,1
FELTCRAFT CHRISTMAS FAIRY,19,209,0.0909,1
FELTCRAFT CUSHION BUTTERFLY,0,13,0,0
FELTCRAFT CUSHION OWL,16,142,0.1127,1
FELTCRAFT CUSHION RABBIT,0,4,0,0
FELTCRAFT DOLL EMILY,10,118,0.0847,1
FELTCRAFT DOLL MOLLY,12,127,0.0945,1
FELTCRAFT DOLL ROSIE,6,97,0.0619,1
FELTCRAFT GIRL AMELIE KIT,14,128,0.1094,1
FELTCRAFT GIRL NICOLE KIT,6,84,0.0714,1
FELTCRAFT HAIRBAND PINK AND BLUE,2,67,0.0299,1
FELTCRAFT HAIRBAND PINK AND PURPLE,3,72,0.0417,1
FELTCRAFT HAIRBAND RED AND BLUE,4,90,0.0444,1
FELTCRAFT HAIRBANDS PINK AND WHITE,3,56,0.0536,1
FELTCRAFT PRINCESS CHARLOTTE DOLL,21,163,0.1288,1
FELTCRAFT PRINCESS LOLA DOLL,22,187,0.1176,1
FELTCRAFT PRINCESS OLIVIA DOLL,7,134,0.0522,1
FENG SHUI PILLAR CANDLE,3,27,0.1111,1
FILIGREE DIAMANTE EARRINGS,0,2,0,0
FILIGREE HEART BIRD WHITE,4,45,0.0889,1
FILIGREE HEART BUTTERFLY WHITE,6,49,0.1224,1
FILIGREE HEART DAISY WHITE,6,36,0.1667,1
FILIGRIS HEART WITH BUTTERFLY,5,52,0.0962,1
FINE SILVER NECKLACE W PASTEL FLOWE,0,2,0,0
FIRST AID TIN,2,32,0.0625,1
FIRST CLASS HOLIDAY PURSE,0,2,0,0
FIRST CLASS LUGGAGE TAG,0,5,0,0
FIRST CLASS PASSPORT COVER,1,14,0.0714,1
