Description,Avg_Returner_Rate
CHRISTMAS GINGHAM STAR,0.012625
CHRISTMAS GINGHAM TREE,0.008425
CHRISTMAS HANGING SNOWFLAKE,0.0091
CHRISTMAS HANGING STAR WITH BELL,0.0108
CHRISTMAS HANGING TREE WITH BELL,0.009625
CHRISTMAS LIGHTS 10 REINDEER,0.0116
CHRISTMAS LIGHTS 10 SANTAS,0.013025
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,0.0033
CHRISTMAS METAL POSTCARD WITH BELLS,0
CHRISTMAS METAL TAGS ASSORTED,0.0023
CHRISTMAS MUSICAL ZINC STAR,0.0139
CHRISTMAS MUSICAL ZINC TREE,0.015625
CHRISTMAS PUDDING TRINKET POT,0.00845
CHRISTMAS RETROSPOT ANGEL WOOD,0.0119
CHRISTMAS RETROSPOT STAR WOOD,0.01315
CHRISTMAS RETROSPOT TREE WOOD,0.015775
CHRISTMAS STAR WISH LIST CHALKBOARD,0.0151
CHRISTMAS TABLE SILVER CANDLE SPIKE,0.004025
CHRISTMAS TOILET ROLL,0.015625
CHRISTMAS TREE DECORATION WITH BELL,0
CHRISTMAS TREE HANGING GOLD,0.018275
CHRISTMAS TREE HANGING SILVER,0.01785
CHRISTMAS TREE HEART DECORATION,0
CHRISTMAS TREE PAINTED ZINC,0.0111
CHRISTMAS TREE STAR DECORATION,0.007575
CHRISTMAS TREE T-LIGHT HOLDER,0
CHRYSANTHEMUM JOURNAL,0.0238
CHRYSANTHEMUM NOTEBOOK,0
CHRYSANTHEMUM POCKET BOOK,0
CHRYSANTHEMUM SKETCHBOOK,0.01135
CHUNKY CRACKED GLAZE NECKLACE IVORY,NULL
CHUNKY SILVER NECKLACE PASTEL FLOWE,0
CINAMMON & ORANGE WREATH,0
CINAMMON SET OF 9 T-LIGHTS,0.0122
CINDERELLA CHANDELIER,0.055566667
CINNAMON SCENTED VOTIVE CANDLE,0
CIRCUS PARADE BABY GIFT SET,0
CIRCUS PARADE CHILDRENS EGG CUP,0.008925
CIRCUS PARADE LUNCH BOX,0.00455
CITRONELLA CANDLE FLOWERPOT,0
CITRONELLA CANDLE GARDEN POT,0
CLAM SHELL SMALL,0
CLASSIC BICYCLE CLIPS,0.05045
CLASSIC CAFE SUGAR DISPENSER,0.008625
CLASSIC CHROME BICYCLE BELL,0.0177
CLASSIC CROME BICYCLE BELL,0
CLASSIC DIAMANTE EARRINGS JET,0
CLASSIC DIAMANTE NECKLACE JET,0
CLASSIC FRENCH STYLE BASKET BROWN,0
CLASSIC FRENCH STYLE BASKET NATURAL,0
CLASSIC GLASS COOKIE JAR,0.0094
CLASSIC METAL BIRDCAGE PLANT HOLDER,0.003525
CLASSICAL ROSE TABLE LAMP,0
CLEAR ACRYLIC FACETED BANGLE,0
CLEAR CRYSTAL STAR PHONE CHARM,0
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,0.003625
CLEAR LOVE BIRD T-LIGHT HOLDER,0
CLOCK MAGNET MUM'S KITCHEN,0
CLOTHES PEGS RETROSPOT PACK 24,0.01135
COCKLE SHELL DISH,0.0303
COCKTAIL SWORDS 50 PIECES,0
COFFEE MUG APPLES DESIGN,0.005175
COFFEE MUG BLUE PAISLEY DESIGN,0
COFFEE MUG CAT + BIRD DESIGN,0.0061
COFFEE MUG DOG + BALL DESIGN,0.015625
COFFEE MUG PEARS DESIGN,-3.47E-18
COFFEE MUG PINK PAISLEY DESIGN,0
COFFEE SCENT PILLAR CANDLE,0
COLOUR GLASS T-LIGHT HOLDER HANGING,0.0143
COLOUR GLASS. STAR T-LIGHT HOLDER,0.026666667
COLOURED GLASS STAR T-LIGHT HOLDER,0.0328
COLOURING PENCILS BROWN TUBE,0.01875
COLUMBIAN CANDLE RECTANGLE,0
COLUMBIAN CANDLE ROUND,0
COLUMBIAN CUBE CANDLE,0
CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,0
COOK WITH WINE METAL SIGN,0.0146
COPPER/OLIVE GREEN FLOWER NECKLACE,NULL
CORDIAL GLASS JUG,0
CORDIAL JUG,0
COSMETIC BAG VINTAGE ROSE PAISLEY,0.013875
COSY HOUR CIGAR BOX MATCHES,0.004725
COSY SLIPPER SHOES LARGE GREEN,0
COSY SLIPPER SHOES SMALL GREEN,0
COSY SLIPPER SHOES SMALL RED,0
COTE D'AZURE NECKLACE,0
COTTON APRON PANTRY DESIGN,0.01315
COWBOYS AND INDIANS BIRTHDAY CARD,0.005
CRACKED GLAZE EARRINGS BROWN,0
CRACKED GLAZE EARRINGS RED,0
CRACKED GLAZE NECKLACE BROWN,NULL
CRACKED GLAZE NECKLACE IVORY,NULL
CRAZY DAISY HEART DECORATION,0.022725
CREAM BUNNY EASTER EGG BASKET,NULL
CREAM CLIMBING HYDRANGA ART FLOWER,0
CREAM CUPID HEARTS COAT HANGER,0
CREAM DELPHINIUM ARTIFICIAL FLOWER,0
CREAM HANGING HEART T-LIGHT HOLDER,0
CREAM HEART CARD HOLDER,0.011725
CREAM SLICE FLANNEL CHOCOLATE SPOT,0
CREAM SLICE FLANNEL PINK SPOT,0.01
CREAM SWEETHEART MINI CHEST,0.007925
CREAM WALL PLANTER HEART SHAPED,0
CROCHET LILAC/RED BEAR KEYRING,NULL
CROCHET ROSE PURSE WITH SUEDE BACK,0
CROCHET WHITE RABBIT KEYRING,NULL
CRUK Commission,0
CRYSTAL CZECH CROSS PHONE CHARM,0
CRYSTAL DIAMANTE STAR BROOCH,0
CRYSTAL FROG PHONE CHARM,0
CRYSTAL HOOP EARRING FLORAL LEAF,0
CRYSTAL PAIR HEART HAIR SLIDES,0
CRYSTAL SEA HORSE PHONE CHARM,0
CRYSTAL STILETTO PHONE CHARM,0
CRYSTAL STUD EARRINGS ASSORTED COL,0
CRYSTAL STUD EARRINGS CLEAR DISPLAY,0
CUBIC MUG FLOCK PINK ON BROWN,0
CUPBOARD 3 DRAWER MA CAMPAGNE,0.011375
CUPCAKE LACE PAPER SET 6,-2.50E-05
CUPID DESIGN SCENTED CANDLES,0.037033333
CURIO CABINET LINEN AND LACE,0
CURIOUS IMAGES GIFT WRAP SET,1.73E-18
CUSHION COVER PINK UNION JACK,0
CUT GLASS HEXAGON T-LIGHT HOLDER,0
CUT GLASS T-LIGHT HOLDER OCTAGON,0
CUTE CATS TAPE,0.019225
DAIRY MAID LARGE MILK JUG,0.016675
DAIRY MAID STRIPE MUG,0
DAIRY MAID TOASTRACK,0
DAIRY MAID TRADITIONAL TEAPOT,0
DAISIES HONEYCOMB GARLAND,0
DAISY FOLKART HEART DECORATION,0
DAISY GARDEN MARKER,0
DAISY HAIR BAND,0
DAISY HAIR COMB,0
DAISY JOURNAL,0
DAISY NOTEBOOK,0
DAISY SKETCHBOOK,0
DANISH ROSE DECORATIVE PLATE,0.0139
DANISH ROSE DELUXE COASTER,0.022725
DANISH ROSE PHOTO FRAME,0
DANISH ROSE ROUND SEWING BOX,0.017533333
DANISH ROSE TRINKET TRAYS,0
DANISH ROSE UMBRELLA STAND,0
DARK BIRD HOUSE TREE DECORATION,-3.33E-05
DECORATION ; WOBBLY CHICKEN; METAL,0
DECORATION ; WOBBLY RABBIT ; METAL,0
DECORATION BUTTERFLY MAGIC GARDEN,0
DECORATION PINK CHICK MAGIC GARDEN,0
DECORATION SITTING BUNNY,0
DECORATION WHITE CHICK MAGIC GARDEN,0
DECORATION WOBBLY CHICKEN,0
DECORATION WOBBLY RABBIT METAL,0
DECORATIVE CATS BATHROOM BOTTLE,0
DECORATIVE FLORE BATHROOM BOTTLE,0
DECORATIVE PLANT POT WITH FRIEZE,0
DECORATIVE ROSE BATHROOM BOTTLE,0
DECORATIVE VINTAGE COFFEE BOX,0
DECORATIVE WICKER HEART LARGE,0.004725
DECORATIVE WICKER HEART MEDIUM,0.0062
DECORATIVE WICKER HEART SMALL,0.010125
DECOUPAGE;GREETING CARD,-3.97E-18
DECROTIVEVINTAGE COFFEE GRINDER BOX,0
DELUXE SEWING KIT,0.01785
DIAMANTE BOW BROOCH BLACK COLOUR,0
DIAMANTE BOW BROOCH GREEN COLOUR,0
DIAMANTE BOW BROOCH RED COLOUR,0
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,0
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,0
DIAMANTE HAIR GRIP PACK/2 LT ROSE,0
DIAMANTE HAIR GRIP PACK/2 MONTANA,0
DIAMANTE HAIR GRIP PACK/2 PERIDOT,0
DIAMANTE HAIR GRIP PACK/2 RUBY,0
DIAMANTE HEART SHAPED WALL MIRROR,0
DIAMANTE HEART SHAPED WALL MIRROR;,0.08335
DIAMANTE NECKLACE BLACK,0
DIAMANTE NECKLACE GREEN,NULL
DIAMANTE NECKLACE PURPLE,0
DIAMANTE RING ASSORTED IN BOX.,0
DIAMOND LAS VEGAS NECKLACE 45CM,0
DINOSAUR HEIGHT CHART STICKER SET,0
DINOSAUR KEYRINGS ASSORTED,0
DINOSAUR LUNCH BOX WITH CUTLERY,0
DINOSAUR PARTY BAG + STICKER SET,0
DINOSAURS WRITING SET,0.005125
DISCO BALL CHRISTMAS DECORATION,0.0072
DISCO BALL ROTATOR BATTERY OPERATED,0
Discount,0
DO NOT TOUCH MY STUFF DOOR HANGER,0
DOCTOR'S BAG SOFT TOY,0.0139
DOG AND BALL WALL ART,0
DOG BOWL CHASING BALL DESIGN,0
DOG BOWL VINTAGE CREAM,0.010875
DOG LICENCE WALL ART,0
DOG TOY WITH PINK CROCHET SKIRT,0
DOGGY RUBBER,0.0196
DOILEY STORAGE TIN,0
DOILY THANK YOU CARD,0.010933333
DOLLY CABINET 2 DRAWERS,0
DOLLY CABINET 3 DRAWERS,0
DOLLY GIRL BABY GIFT SET,0
DOLLY GIRL BEAKER,0.01665
DOLLY GIRL CHILDRENS BOWL,0
DOLLY GIRL CHILDRENS CUP,0.007925
DOLLY GIRL CHILDRENS EGG CUP,0
DOLLY GIRL LUNCH BOX,0.0152
DOLLY GIRL MINI BACKPACK,0.00595
DOLLY GIRL WALL ART,0
DOLLY HONEYCOMB GARLAND,0
DOLLY MIXTURE CHILDREN'S UMBRELLA,0.015625
DOOR HANGER MUM + DADS ROOM,0.00925
DOORMAT 3 SMILEY CATS,0.0061
DOORMAT AIRMAIL,0
DOORMAT BLACK FLOCK,0
DOORMAT CHRISTMAS VILLAGE,0.041666667
DOORMAT ENGLISH ROSE,0.007575
DOORMAT FAIRY CAKE,0
DOORMAT FANCY FONT HOME SWEET HOME,0.007475
DOORMAT HEARTS,0.009525
DOORMAT HOME SWEET HOME BLUE,0.007825
DOORMAT I LOVE LONDON,0
DOORMAT KEEP CALM AND COME IN,0.0157
DOORMAT MERRY CHRISTMAS RED,0.009533333
DOORMAT MULTICOLOUR STRIPE,0.01
DOORMAT NEIGHBOURHOOD WITCH,0.0196
DOORMAT NEW ENGLAND,0.008275
DOORMAT PEACE ON EARTH BLUE,0
DOORMAT RED RETROSPOT,0.01155
DOORMAT RESPECTABLE HOUSE,0.007825
DOORMAT SPOTTY HOME SWEET HOME,0.00605
DOORMAT TOPIARY,0.022725
DOORMAT UNION FLAG,0.007725
DOORMAT UNION JACK GUNS AND ROSES,0
DOORMAT VINTAGE LEAF,0.005325
DOORMAT WELCOME PUPPIES,0
DOORMAT WELCOME SUNRISE,0.02175
DOORMAT WELCOME TO OUR HOME,0.0134
DOORSTOP FOOTBALL DESIGN,0.0119
DOORSTOP RACING CAR DESIGN,0
DOORSTOP RETROSPOT HEART,0.003225
dotcom,0
dotcom adjust,NULL
DOTCOM POSTAGE,0.03125
Dotcomgiftshop Gift Voucher �10.00,NULL
Dotcomgiftshop Gift Voucher �20.00,NULL
dotcomstock,NULL
DOUGHNUT LIP GLOSS,0.01865
DRAGONS BLOOD INCENSE,0
DRAWER KNOB CERAMIC BLACK,0
DRAWER KNOB CERAMIC IVORY,0.005525
DRAWER KNOB CERAMIC RED,0
DRAWER KNOB CRACKLE GLAZE BLUE,0.041666667
DRAWER KNOB CRACKLE GLAZE GREEN,0.005125
DRAWER KNOB CRACKLE GLAZE IVORY,0
DRAWER KNOB CRACKLE GLAZE PINK,0.0052
DRAWER KNOB VINTAGE GLASS BALL,0
DRAWER KNOB VINTAGE GLASS HEXAGON,0
DRAWER KNOB VINTAGE GLASS STAR,0
DROP DIAMANTE EARRINGS BLACK DIAMON,NULL
DROP DIAMANTE EARRINGS CRYSTAL,0
DROP DIAMANTE EARRINGS GREEN,NULL
DROP DIAMANTE EARRINGS PURPLE,0
DROP EARRINGS W FLOWER & LEAF,0
DUSTY PINK CHRISTMAS TREE 60CM,0
EASTER BUNNY WITH BASKET ON BACK,0
EASTER CRAFT 4 CHICKS,0
EASTER DECORATION EGG BUNNY,0
EASTER DECORATION HANGING BUNNY,0
EASTER DECORATION NATURAL CHICK,0
EASTER TIN BUNNY BOUQUET,0
EASTER TIN CHICKS PINK DAISY,0
EASTER TREE YELLOW BIRDS,0
EAU DE NIL LOVE BIRD CANDLE,0.125
EAU DE NILE HEART SHAPE PHOTO FRAME,0
EAU DE NILE JEWELLED PHOTOFRAME,0
EAU DE NILE JEWELLED T-LIGHT HOLDER,0
ECONOMY LUGGAGE TAG,0.019225
EDWARDIAN DROP EARRINGS JET BLACK,0
EDWARDIAN HEART PHOTO FRAME,0
EDWARDIAN PARASOL BLACK,0.01235
EDWARDIAN PARASOL NATURAL,0.007925
EDWARDIAN PARASOL PINK,0
EDWARDIAN PARASOL RED,0.003325
EDWARDIAN PHOTO FRAME,0.019225
EGG CUP HENRIETTA HEN CREAM,0
EGG CUP HENRIETTA HEN PINK,0
EGG CUP MILKMAID HEIDI,0
EGG CUP MILKMAID HELGA,0.005225
EGG CUP MILKMAID INGRID,0.0041
EGG CUP NATURAL CHICKEN,0.025
EGG FRYING PAN BLUE,0.0058
EGG FRYING PAN IVORY,0.0147
EGG FRYING PAN MINT,0.0061
EGG FRYING PAN PINK,0.01875
EGG FRYING PAN RED,0.03125
EIGHT PIECE SNAKE SET,0
ELEPHANT BIRTHDAY CARD,0.00375
ELEPHANT CARNIVAL POUFFE,0
ELEPHANT; BIRTHDAY CARD,0.0028
EMBOSSED GLASS TEALIGHT HOLDER,0.0038
EMBOSSED HEART TRINKET BOX,0.009625
EMBROIDERED RIBBON REEL CLAIRE,0
EMBROIDERED RIBBON REEL DAISY,-2.50E-05
EMBROIDERED RIBBON REEL EMILY,-8.67E-19
EMBROIDERED RIBBON REEL RACHEL,0
EMBROIDERED RIBBON REEL REBECCA,0
EMBROIDERED RIBBON REEL ROSIE,-2.50E-05
EMBROIDERED RIBBON REEL RUBY,6.94E-18
EMBROIDERED RIBBON REEL SALLY,0.004875
EMBROIDERED RIBBON REEL SOPHIE,3.47E-18
EMBROIDERED RIBBON REEL SUSIE,0.004925
EMERGENCY FIRST AID TIN,0.038466667
EMPIRE BIRTHDAY CARD,0
EMPIRE DESIGN ROSETTE,0
EMPIRE GIFT WRAP,0
EMPIRE TISSUE BOX,0.00705
EMPIRE UNION JACK TV DINNER TRAY,0.00695
ENAMEL BLUE RIM COFFEE CONTAINER,0
ENAMEL BREAD BIN CREAM,0.0125
ENAMEL COLANDER CREAM,0.010425
ENAMEL FIRE BUCKET CREAM,0
ENAMEL FLOWER JUG CREAM,0
ENAMEL MEASURING JUG CREAM,0.010725
ENAMEL PINK COFFEE CONTAINER,NULL
ENAMEL WASH BOWL CREAM,0
ENAMEL WATERING CAN CREAM,0.008325
ENCHANTED BIRD COATHANGER 5 HOOK,0.0134
ENGLISH ROSE GARDEN SECATEURS,0
ENGLISH ROSE HOT WATER BOTTLE,0.0069
ENGLISH ROSE NOTEBOOK A7 SIZE,0.008425
ENGLISH ROSE SMALL SCENTED FLOWER,0
ENGLISH ROSE SPIRIT LEVEL,0.015625
ENVELOPE 50 BLOSSOM IMAGES,0
ETCHED GLASS COASTER,NULL
EUCALYPTUS & PINECONE WREATH,0.0303
FAIRY CAKE BIRTHDAY CANDLE SET,0
FAIRY CAKE DESIGN UMBRELLA,0
FAIRY CAKE FLANNEL ASSORTED COLOUR,0.01275
FAIRY CAKES NOTEBOOK A6 SIZE,0
FAIRY CAKES NOTEBOOK A7 SIZE,0.008625
FAIRY DREAMS INCENSE,0
FAIRY TALE COTTAGE NIGHT LIGHT,0.007575
FAMILY ALBUM WHITE PICTURE FRAME,0.0219
FAMILY PHOTO FRAME CORNICE,0.0064
FAN BLACK FRAME,0
FANCY FONT BIRTHDAY CARD,8.33E-06
FANCY FONT BIRTHDAY CARD;,0
FANCY FONTS BIRTHDAY WRAP,8.67E-19
FAUX FUR CHOCOLATE THROW,0.0119
FAWN BLUE HOT WATER BOTTLE,0.0134
FEATHER PEN;COAL BLACK,0.003563636
FEATHER PEN;HOT PINK,0.001075
FEATHER PEN;LIGHT PINK,0.0034
FELT EGG COSY BLUE RABBIT,0
FELT EGG COSY CHICKEN,0.018533333
FELT EGG COSY LADYBIRD,0
FELT EGG COSY WHITE RABBIT,0.013875
FELT FARM ANIMAL RABBIT,0
FELT FARM ANIMAL SHEEP,0
FELT FARM ANIMAL WHITE BUNNY,0
FELT TOADSTOOL LARGE,0
FELT TOADSTOOL SMALL,0
FELTCRAFT 6 FLOWER FRIENDS,0
FELTCRAFT BOY JEAN-PAUL KIT,0.010425
FELTCRAFT BUTTERFLY HEARTS,0.007825
FELTCRAFT CHRISTMAS FAIRY,0.006675
FELTCRAFT CUSHION BUTTERFLY,0
FELTCRAFT CUSHION OWL,0.0036
FELTCRAFT CUSHION RABBIT,0
FELTCRAFT DOLL EMILY,0.007025
FELTCRAFT DOLL MOLLY,0.00885
FELTCRAFT DOLL ROSIE,0.017866667
FELTCRAFT GIRL AMELIE KIT,0.0087
FELTCRAFT GIRL NICOLE KIT,0.003525
FELTCRAFT HAIRBAND PINK AND BLUE,8.67E-19
FELTCRAFT HAIRBAND PINK AND PURPLE,0.003775
FELTCRAFT HAIRBAND RED AND BLUE,0.006425
FELTCRAFT HAIRBANDS PINK AND WHITE,0.0049
FELTCRAFT PRINCESS CHARLOTTE DOLL,0.01345
FELTCRAFT PRINCESS LOLA DOLL,0.010125
FELTCRAFT PRINCESS OLIVIA DOLL,0.004125
FENG SHUI PILLAR CANDLE,0.009275
FILIGREE DIAMANTE EARRINGS,0
FILIGREE HEART BIRD WHITE,0.011375
FILIGREE HEART BUTTERFLY WHITE,0.010625
FILIGREE HEART DAISY WHITE,0
FILIGRIS HEART WITH BUTTERFLY,-2.50E-05
FINE SILVER NECKLACE W PASTEL FLOWE,0
FIRE POLISHED GLASS BRACELET BLACK,0
FIRE POLISHED GLASS BRACELET GREEN,0
FIRE POLISHED GLASS BRACELET RED,NULL
FIRE POLISHED GLASS NECKL GREEN,NULL
FIRST AID TIN,0.008625
FIRST CLASS HOLIDAY PURSE,0
FIRST CLASS LUGGAGE TAG,0
FIRST CLASS PASSPORT COVER,0
FIVE CATS HANGING DECORATION,0.047633333
FIVE HEART HANGING DECORATION,0
FLAMES SUNGLASSES PINK LENSES,NULL
FLOOR CUSHION ELEPHANT CARNIVAL,0.022725
FLORAL BLUE MONSTER,NULL
FLORAL FOLK STATIONERY SET,0.00935
FLORAL PINK MONSTER,0
FLORAL SOFT CAR TOY,0
FLOWER FAIRY 5 DRAWER LINERS,0
FLOWER FAIRY;5 SUMMER B'DRAW LINERS,0
"FLOWER GLASS GARLAND NECKL.36""BLUE",0
"FLOWER GLASS GARLD NECKL36""AMETHYST",0
FLOWER SHOP DESIGN MUG,0
FLOWER VINE RAFFIA FOOD COVER,0
FLOWERS CHANDELIER T-LIGHT HOLDER,0
FLOWERS STICKERS,0
FLOWERS TILE COASTER,0
FLUTED ANTIQUE CANDLE HOLDER,0.003375
FLYING PIG WATERING CAN,0
FOLDING BUTTERFLY MIRROR HOT PINK,0.0212
FOLDING BUTTERFLY MIRROR IVORY,0.0119
FOLDING BUTTERFLY MIRROR RED,0.011125
FOLDING SHOE TIDY,0
FOLDING UMBRELLA BLACKBLUE POLKADOT,0
FOLDING UMBRELLA CHOCOLATE POLKADOT,0
FOLDING UMBRELLA CREAM POLKADOT,0
FOLDING UMBRELLA PINKWHITE POLKADOT,0
FOLDING UMBRELLA RED/WHITE POLKADOT,0
FOLDING UMBRELLA WHITE/RED POLKADOT,0
FOLK ART GREETING CARD;pack/12,0
FOLK ART METAL HEART T-LIGHT HOLDER,0
FOLK ART METAL STAR T-LIGHT HOLDER,0
FOLK FELT HANGING MULTICOL GARLAND,0
FOLKART CLIP ON STARS,0
FOLKART HEART NAPKIN RINGS,NULL
FOLKART STAR CHRISTMAS DECORATIONS,0.0029
FOLKART ZINC HEART CHRISTMAS DEC,0.00555
FOOD CONTAINER SET 3 LOVE HEART,0.0091
FOOD COVER WITH BEADS ; SET 2 SIZES,NULL
FOOD COVER WITH BEADS SET 2,0
FOOD/DRINK SPONGE STICKERS,0
FOOT STOOL HOME SWEET HOME,0
FORKED CACTUS CANDLE,0
Found,0
Found by jackie,NULL
FOUR HOOK WHITE LOVEBIRDS,0.010125
FRAPPUCINO SCARF KNITTING KIT,0.008325
FRENCH BATHROOM SIGN BLUE METAL,0
FRENCH BLUE METAL DOOR SIGN 0,0.013875
FRENCH BLUE METAL DOOR SIGN 1,0.00695
FRENCH BLUE METAL DOOR SIGN 2,0.00925
FRENCH BLUE METAL DOOR SIGN 3,0.026775
FRENCH BLUE METAL DOOR SIGN 4,0.01785
FRENCH BLUE METAL DOOR SIGN 5,0.0078
FRENCH BLUE METAL DOOR SIGN 6,0.010875
FRENCH BLUE METAL DOOR SIGN 7,0.01315
FRENCH BLUE METAL DOOR SIGN 8,0.0096
FRENCH BLUE METAL DOOR SIGN 9,0.016675
FRENCH BLUE METAL DOOR SIGN No,0.019225
FRENCH CARRIAGE LANTERN,0.018533333
FRENCH ENAMEL CANDLEHOLDER,0.018375
FRENCH ENAMEL POT W LID,0.020833333
FRENCH ENAMEL WATER BASIN,0.010425
FRENCH FLORAL CUSHION COVER,0
FRENCH GARDEN SIGN BLUE METAL,0
FRENCH KITCHEN SIGN BLUE METAL,0.009625
FRENCH LATTICE CUSHION COVER,0
FRENCH LAUNDRY SIGN BLUE METAL,0
FRENCH LAVENDER SCENT HEART,0
FRENCH PAISLEY CUSHION COVER,0
FRENCH STYLE EMBOSSED HEART CABINET,0
FRENCH STYLE STORAGE JAR BONBONS,0
FRENCH STYLE STORAGE JAR CAFE,0.0061
FRENCH STYLE STORAGE JAR JAM,0
FRENCH TOILET SIGN BLUE METAL,0
FRENCH WC SIGN BLUE METAL,0.005575
FRIDGE MAGNETS LA VIE EN ROSE,0.01
FRIDGE MAGNETS LES ENFANTS ASSORTED,0.0196
FRIDGE MAGNETS US DINER ASSORTED,0
FROSTED WHITE BASE,0
FRUIT SALAD BAG CHARM,0
FRYING PAN BLUE POLKADOT,0
FRYING PAN PINK POLKADOT,0.016666667
FRYING PAN RED RETROSPOT,0.00715
FRYING PAN UNION FLAG,0.020825
FULL ENGLISH BREAKFAST PLATE,0.02875
FUNKY DIVA PEN,0.00675
FUNKY MONKEY CUSHION COVER,0
FUNKY MONKEY GIFT BAG MEDIUM,0
FUNKY WASHING UP GLOVES ASSORTED,0
GAOLERS KEYS DECORATIVE GARDEN,0.0088
GARAGE KEY FOB,0.013875
GARDEN PATH JOURNAL,0
GARDEN PATH POCKET BOOK,0
GARDEN PATH SKETCHBOOK,0
GARDENERS KNEELING PAD CUP OF TEA,0.021575
GARDENERS KNEELING PAD KEEP CALM,0.019375
GARDENIA 1 WICK MORRIS BOXED CANDLE,0
GARDENIA 3 WICK MORRIS BOXED CANDLE,0
GARLAND WITH HEARTS AND BELLS,0
GARLAND WITH STARS AND BELLS,0
GARLAND WOODEN HAPPY EASTER,0
GARLAND; VINTAGE BELLS,0
GENTLEMAN SHIRT REPAIR KIT,0.0064
GEORGIAN TRINKET BOX,0
GIANT 50'S CHRISTMAS CRACKER,0.012
GIFT BAG BIRTHDAY,0
GIFT BAG PSYCHEDELIC APPLES,0
GIN & TONIC DIET GREETING CARD,0.008075
GIN + TONIC DIET METAL SIGN,0.013166667
GIN AND TONIC DIET METAL SIGN,0.01135
GIN AND TONIC MUG,0.012925
GINGERBREAD MAN COOKIE CUTTER,0.011075
GINGHAM BABUSHKA DOORSTOP,0.0147
GINGHAM HEART DECORATION,0.007375
GINGHAM HEART DOORSTOP RED,0.0181
GINGHAM RECIPE BOOK BOX,0
GIRAFFE WOODEN RULER,0.007275
GIRLS ALPHABET IRON ON PATCHES,0
GIRLS PARTY BAG,NULL
GIRLS VINTAGE TIN SEASIDE BUCKET,0
GLAMOROUS MUG,0.029075
GLASS AND PAINTED BEADS BRACELET OL,0
GLASS AND PAINTED BEADS BRACELET TO,NULL
GLASS APOTHECARY BOTTLE ELIXIR,0.011925
GLASS APOTHECARY BOTTLE PERFUME,0.01
GLASS APOTHECARY BOTTLE TONIC,0.0076
GLASS BEAD HOOP EARRINGS AMETHYST,0
GLASS BEAD HOOP EARRINGS GREEN,NULL
GLASS BEAD HOOP EARRINGS MONTANA,NULL
GLASS BEAD HOOP NECKLACE AMETHYST,0
GLASS BEAD HOOP NECKLACE GREEN,NULL
GLASS BON BON JAR,0.008075
GLASS BONNE JAM JAR,0
GLASS CLOCHE SMALL,0
GLASS HEART T-LIGHT HOLDER,0.016675
GLASS JAR DAISY FRESH COTTON WOOL,0
GLASS JAR DIGESTIVE BISCUITS,0.025
GLASS JAR ENGLISH CONFECTIONERY,0.0119
GLASS JAR KINGS CHOICE,0.026325
GLASS JAR MARMALADE,0.025633333
GLASS JAR PEACOCK BATH SALTS,0.0078
GLASS SONGBIRD STORAGE JAR,0
GLASS SPHERE CANDLE STAND MEDIUM,0
GLASS STAR FROSTED T-LIGHT HOLDER,0.023833333
GLASS TWIST BON BON JAR,0
GLITTER BUTTERFLY CLIPS,0.00805
GLITTER CHRISTMAS STAR,0.009625
GLITTER CHRISTMAS TREE,4.63E-18
GLITTER CHRISTMAS TREE WITH BELLS,0.007025
GLITTER HANGING BUTTERFLY STRING,0.0044
GLITTER HEART DECORATION,0.00635
GLITTER HEART GARLAND WITH BELLS,0.00925
GLITTER STAR GARLAND WITH BELLS,0
GLOW IN DARK DOLPHINS,0
GOLD DIAMANTE STAR BROOCH,0
GOLD EAR MUFF HEADPHONES,0
GOLD FABRIC MIRROR,0
GOLD FISHING GNOME,0
GOLD M.O.P ORBIT BRACELET,0
GOLD M.O.P ORBIT DROP EARRINGS,0
GOLD M.O.P. ORBIT NECKLACE,0
GOLD MINI TAPE MEASURE,0
GOLD MUG BONE CHINA TREE OF LIFE,0.004525
GOLD PHOTO FRAME,0
GOLD STANDING GNOME,0
GOLD/AMBER DROP EARRINGS W LEAF,NULL
GOLD/M.O.P PENDANT ORBIT NECKLACE,0
GOLDIE LOOKING MIRROR,0
GRAND CHOCOLATECANDLE,0.006175
GRASS HOPPER WOODEN WALL CLOCK,0
GREEN BIRDHOUSE DECORATION,0
GREEN BITTY LIGHT CHAIN,0.0196
GREEN CHRISTMAS TREE CARD HOLDER,0.001775
GREEN CHRISTMAS TREE STRING 20LIGHT,0
GREEN CRYSTAL DROP EARRINGS,NULL
GREEN DIAMANTE PEN IN GIFT BOX,0
GREEN DRAWER KNOB ACRYLIC EDWARDIAN,0.017225
GREEN DROP EARRINGS W BEAD CLUSTER,0
GREEN ENAMEL FLOWER HAIR TIE,0
GREEN ENAMEL FLOWER RING,0
GREEN FERN JOURNAL,0.022233333
GREEN FERN POCKET BOOK,0
GREEN FERN SKETCHBOOK,0.01785
GREEN GEISHA GIRL,0
GREEN GIANT GARDEN THERMOMETER,NULL
GREEN GLASS TASSLE BAG CHARM,0
GREEN GOOSE FEATHER CHRISTMAS TREE,0
GREEN GOOSE FEATHER TREE 60CM,0.00595
